KNN_SEQ,,,,,microseconds,,,,,Total time,,
filename,number of points,k,nw,,Read time,Knn time,Write time,,,microseconds,seconds,minutes
154.295 / 1.649,,,,,357.669 /  3.849,,,36.938/0.525,,,,
93.568 seconds,,,,,92.925 seconds,,,70.358 seconds,,,,
Efficiency(n) = T_ideal(N) / T_par(N),,,,,Efficiency(n) = T_ideal(N) / T_par(N),,,Efficiency(n) = T_ideal(N) / T_par(N),,,,
0.670 / 1.649 ,,,,,1.491 / 3.849,,,0.178/0.525,,,,
0.4063,,,,,0.38737,,,0.33904,,,,
,,,,,,,,,,,,
,,,,Nw = 256,T_ideal = T_reader + (T_seq/nw) + T_writer,92695,356309393,7350,,,,
,,,,1,356.409,,,,,,,
,,,,2,178.254,,,,,,,
,,,,4,89.177,,,,,,,
,,,,8,44.638,44638719.125,,,,,,
,,,,16,22.369,22369382.0625,,,,,,
,,,,32,11.234,11234713.53125,,,,,,
,,,,64,5.667,5667379.265625,,,,,,
,,,,128,2.88,2883712.1328125,,,,,,
,,,,256,1.491,,,,,,,
,,,,,,,,,,,,
,,,,Speedup(n) = T_seq / T_par(N),Scalability(n) = T_par(1) / T_par(N),Efficiency(n) = T_ideal(N) / T_par(N),,,,,,
,,,,0.996217172860941,1,0.00416865873195608,0.996477189803981,,,,,
,,,,1.98628670814101,1.99382901866346,0.00831159274867884,0.99367850692354,,,,,
,,,,3.76679281984058,3.78109605260376,0.0157620990760513,0.942734211472187,,,,,
,,,,7.51594667566655,7.54448616267297,0.0314503881201485,0.941571042861964,,,,,
,,,,15.0528494782645,15.1100080266993,0.0629884669004267,0.944995986650332,,,,,
,,,,29.9828340626052,30.0966846179737,0.125462807135645,0.945304611242006,,,,,
,,,,58.6914841047603,58.914346895075,0.245593806621644,0.933454126173612,,,,,
,,,,80.7057757644394,81.0122310305776,0.337712344280861,0.652321630804077,,,,,
,,,,92.5736554949337,92.925175370226,0.387373343725643,0.387373343725643,,,,,
